Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
2979,SVACU,Financial Services,Shell Companies,NASDAQ,89.37,48.87,94.01,51.44,93.99,54.69,94.42,53.97,102.6,61.97,96.39,63.35,10.79,287733691.9827461,26666700.0,9.01,-20.07,0,0.0,10.81,-0.19,10.88,-0.83,10.7,0.84,0.35,0.0,130,220,268,
2980,CHD,Consumer Defensive,Household & Personal Products,NYSE,89.36,48.83,95.7,61.36,88.87,41.68,88.42,39.41,105.19,65.43,75.56,25.85,95.75,22284546491.19449,236943602.0,0.0438,-9.7,1509900,0.73,94.07,1.79,94.34,1.49,94.78,1.02,2.91,7.91,2023390,2062820,2101268,0.002
2981,JFR,Financial Services,Asset Management,NYSE,89.36,48.83,96.67,67.01,88.29,40.03,89.57,42.1,92.95,44.21,89.97,46.46,7.52,1200816996.64042,160967425.0,0.00090000004,-12.46,908100,1.39,7.48,0.53,7.45,0.94,7.34,2.45,0.66,120.57,612000,654843,844808,0.043
2982,LKSPU,Financial Services,Shell Companies,NASDAQ,89.35,48.78,95.5,59.44,89.28,42.73,89.71,42.41,91.72,40.62,92.93,53.85,10.19,,,2.38,-1.66,0,0.0,10.19,0.0,10.2,-0.1,10.16,0.3,0.1,0.0,130,236,178,
2983,WBTN,Communication Services,Internet Content & Information,NASDAQ,89.35,48.78,91.28,38.86,103.83,68.94,93.61,52.05,85.95,33.17,113.87,81.66,11.38,1634311717.2087955,135234730.0,0.2715,-49.35,409500,1.26,12.64,-9.97,12.47,-8.74,10.98,3.64,7.62,19.61,399230,325073,345076,-0.015
2984,TNL,Consumer Cyclical,Travel Services,NYSE,89.35,48.78,86.19,25.08,93.35,53.32,119.2,81.34,121.24,80.14,108.85,77.96,62.69,3903405722.1681824,62424529.0,0.0594,-22.6,1082400,1.1,63.79,-1.72,64.74,-3.17,68.98,-9.12,2.85,50.4,875660,980126,839558,0.029
2985,CHEC,Financial Services,Shell Companies,NASDAQ,89.34,48.73,95.61,60.39,89.47,43.21,89.53,41.86,91.82,40.94,90.79,48.14,10.11,174646877.43921375,17274667.0,0.14,-4.26,0,0.0,10.11,0.0,10.11,0.0,10.08,0.3,0.05,0.01,1870,3346,3500,
2986,DMIIU,Financial Services,Shell Companies,NASDAQ,89.34,48.73,96.09,64.52,88.71,41.21,89.38,41.52,91.88,41.05,91.11,48.92,10.15,,,0.0,-6.02,500,0.26,10.09,0.59,10.08,0.69,10.06,0.89,0.06,0.01,5050,1946,2684,
2987,HVMC,Financial Services,Shell Companies,NASDAQ,89.34,48.73,95.56,59.99,89.58,43.52,89.84,42.76,91.72,40.62,91.57,50.12,10.12,297629196.6342926,29410000.0,0.0004,-0.3,0,0.0,10.12,0.0,10.11,0.1,10.09,0.3,0.07,0.0,18620,12080,16402,
2988,FNWB,Financial Services,Banks - Regional,NASDAQ,89.34,48.73,90.87,37.42,92.78,52.02,98.82,61.68,95.92,50.81,99.09,67.99,9.5,86474813.91242218,9036031.0,0.0058,-13.48,60700,1.32,9.56,-0.63,9.8,-3.06,9.45,0.53,3.17,23.28,35100,46100,47746,0.664
